year	eeacellcode	classkey	class	specieskey	species	occurrences	mincoordinateuncertaintyinmeters	mintemporaluncertainty	classcount
2024	1kmE3586N3145	220	Magnoliopsida	2891774	Impatiens capensis	1	176.0	1	14830
2024	1kmE3586N3180	220	Magnoliopsida	2891774	Impatiens capensis	2	25.0	1	14830
2024	1kmE3586N3197	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	1	14830
2024	1kmE3587N3197	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	3600	14830
2024	1kmE3587N3198	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	60	14830
2024	1kmE3588N3176	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	86400	14830
2024	1kmE3589N3254	220	Magnoliopsida	2891774	Impatiens capensis	1	3.0	1	14830
2024	1kmE3590N3185	220	Magnoliopsida	2891774	Impatiens capensis	1	2.0	60	14830
2024	1kmE3590N3199	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	1	14830
2024	1kmE3590N3225	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	1	14830
2024	1kmE3593N3218	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	1	14830
2024	1kmE3594N3226	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	1	14830
2024	1kmE3595N3207	220	Magnoliopsida	2891774	Impatiens capensis	1	449.0	1	14830
2024	1kmE3595N3210	220	Magnoliopsida	2891774	Impatiens capensis	1	4.0	1	14830
2024	1kmE3595N3218	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	60	14830
2024	1kmE3596N3214	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	86400	14830
2024	1kmE3597N3221	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	60	14830
2024	1kmE3597N3222	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	60	14830
2024	1kmE3597N3451	220	Magnoliopsida	2891774	Impatiens capensis	1	4.0	1	14830
2024	1kmE3598N3221	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	60	14830
2024	1kmE3600N3141	220	Magnoliopsida	2891774	Impatiens capensis	2	4.0	1	14830
2024	1kmE3600N3201	220	Magnoliopsida	2891774	Impatiens capensis	1	1414.0	1	14830
